time,Download Rate,next_bitrate
2,17799.4138066,45226.0
2,139583.637062,88783.0
3,251891.829763,128503.0
4,345913.635294,177437.0
5,417786.768448,217761.0
6,481244.70285,255865.0
7,532721.578942,323047.0
9,576476.140619,378355.0
12,607830.97477,378355.0
14,635785.603633,509091.0
17,662128.234137,509091.0
20,681256.156528,509091.0
23,698855.379753,577751.0
27,711269.495435,577751.0
30,721705.953042,577751.0
32,730798.693373,577751.0
34,736677.031619,577751.0
38,742249.27333,577751.0
40,746818.13749,577751.0
43,750722.821449,577751.0
46,752674.429364,577751.0
50,754807.692003,577751.0
52,757527.844141,577751.0
54,758459.293065,577751.0
56,758694.960593,577751.0
61,860110.105749,577751.0
67,964927.285209,782553.0
71,924889.145154,577751.0
73,893354.435493,577751.0
80,924008.768462,577751.0
83,891990.786704,577751.0
87,866174.580144,577751.0
89,846348.852305,577751.0
96,891482.820335,577751.0
99,866260.753318,577751.0
103,845992.823055,577751.0
107,828786.244607,577751.0
109,815639.758431,577751.0
116,866756.476598,577751.0
119,846485.425477,577751.0
121,830665.92301,577751.0
127,884816.952611,577751.0
130,861062.73951,577751.0
132,841904.028869,577751.0
138,880032.985612,577751.0
142,856572.592858,577751.0
148,924588.15715,577751.0
151,893278.469519,577751.0
153,867820.787604,577751.0
159,943251.244546,782553.0
163,907880.41726,577751.0
166,879400.748152,577751.0
172,896414.602952,577751.0
175,869036.402395,577751.0
179,848347.298117,577751.0
182,834203.064728,577751.0
188,847655.928068,577751.0
190,831139.260806,577751.0
193,817328.640036,577751.0
199,862027.983359,577751.0
202,842568.979815,577751.0
205,827333.936603,577751.0
211,888437.830626,577751.0
214,864214.043203,577751.0
218,845157.078136,577751.0
224,901837.717116,577751.0
226,874388.549502,577751.0
230,852528.949024,577751.0
236,923394.339968,577751.0
239,891604.302107,577751.0
242,866605.435119,577751.0
246,850664.570695,577751.0
251,938508.660636,577751.0
254,904914.036808,577751.0
259,1031273.63723,782553.0
261,1105420.41521,782553.0
267,1193205.46685,782553.0
269,1244899.24366,1008699.0
279,1148730.18705,782553.0
283,1072620.77448,782553.0
287,1012065.40025,782553.0
291,962240.919433,782553.0
296,923588.190039,577751.0
299,891806.274096,577751.0
302,867007.727511,577751.0
305,845662.427133,577751.0
307,832657.527411,577751.0
311,817169.520022,577751.0
315,811896.80156,577751.0
316,954369.920307,782553.0
325,917274.887061,577751.0
328,888707.05597,577751.0
332,862643.847886,577751.0
334,883759.262686,577751.0
335,1014119.55829,782553.0
343,984866.516018,782553.0
345,1095401.31808,782553.0
351,1104403.49304,782553.0
353,1188544.21149,782553.0
359,1146323.14282,782553.0
361,1222054.97933,1008699.0
370,1129598.4324,782553.0
373,1057604.29459,782553.0
377,997319.404697,782553.0
382,950988.79017,782553.0
386,915226.452706,577751.0
389,889150.267592,577751.0
392,863334.610824,577751.0
395,868937.716834,577751.0
397,996333.17299,782553.0
405,950372.206499,782553.0
409,914455.352924,577751.0
411,951433.992697,782553.0
413,1066077.49003,782553.0
419,1096210.67004,782553.0
421,1183044.02478,782553.0
427,1205222.93742,782553.0
429,1269059.08982,1008699.0
439,1167858.35214,782553.0
443,1088813.84157,782553.0
447,1023151.76473,782553.0
450,971665.872552,782553.0
455,931746.770581,577751.0
457,900404.795934,577751.0
460,873549.414447,577751.0
463,858964.15945,577751.0
464,994003.242508,782553.0
473,947922.371789,782553.0
478,913715.236464,577751.0
481,885390.741396,577751.0
485,861115.946477,577751.0
488,840407.057104,577751.0
491,827003.74919,577751.0
495,826394.618611,577751.0
496,965875.504796,782553.0
505,925565.269999,577751.0
508,893865.939724,577751.0
512,867264.090304,577751.0
